Rank,Country,Crime Index,2023 Population
1,Venezuela,83.76,28838499
2,Papua New Guinea,80.79,10329931
3,South Africa,76.86,60414495
4,Afghanistan,76.31,42239854
5,Honduras,74.54,10593798
6,Trinidad And Tobago,71.63,1534937
7,Guyana,68.74,813834
8,El Salvador,67.79,6364943
9,Brazil,67.49,216422446
10,Jamaica,67.42,2825544
11,Syria,67.18,23227014
12,Peru,66.72,34352719
13,Angola,66.48,36684202
14,Cameroon,65.24,28647293
15,Namibia,65.21,2604172
16,Nigeria,64.06,223804632
17,Bangladesh,63.9,172954319
18,Argentina,63.82,45773884
19,Puerto Rico,62.84,3260314
20,Bahamas,62.06,412623
21,Libya,61.78,6888388
22,Dominican Republic,61.02,11332972
23,Kenya,60.14,55100586
24,Belarus,59.58,9498238
25,Zimbabwe,59.3,16665409
26,Guatemala,58.67,18092026
27,Bolivia,57.77,12388571
28,Fiji,57.62,936375
29,Malaysia,57.29,34308525
30,Colombia,56.87,52085168
31,Kyrgyzstan,56.87,6735347
32,Uganda,56.12,48582334
33,Somalia,56.04,18143378
34,Mongolia,56.01,3447157
35,Tanzania,56,67438106
36,Maldives,55.34,521021
37,Ecuador,55.23,18190484
38,Costa Rica,54.22,5212173
39,Mexico,54.19,128455567
40,Kazakhstan,53.77,19606633
41,Chile,53.42,19629590
42,Botswana,52.98,2675352
43,Algeria,52.03,45606480
44,France,51.99,64756584
45,Uruguay,51.73,3423108
46,Cambodia,51.13,16944826
47,Belize,50.39,410825
48,Iran,49.38,89172767
49,Paraguay,49.37,6861524
50,Ethiopia,49.3,126527060
51,Mauritius,48.88,1300557
52,Morocco,48.66,37840044
53,Iraq,48.42,45504560
54,Sweden,48,10612086
55,Nicaragua,47.89,7046310
56,United States,47.81,339996563
57,Ukraine,47.42,36744634
58,Ghana,46.98,34121985
59,Egypt,46.83,112716598
60,Lebanon,46.77,5353930
61,Myanmar,46.51,54577997
62,Moldova,46.35,3435931
63,Vietnam,46.19,98858950
64,United Kingdom,46.07,67736802
65,Indonesia,45.93,277534122
66,Greece,45.85,10341277
67,Ireland,45.51,5056935
68,Panama,45.15,4468087
69,Italy,44.85,58870762
70,Belgium,44.58,11686140
71,India,44.43,1428627663
72,Palestine,43.74,5371230
73,Tunisia,43.69,12458223
74,Zambia,43.62,20569737
75,Australia,43.03,26439111
76,Bosnia And Herzegovina,42.99,3210847
77,New Zealand,42.88,5228100
78,Albania,42.53,2832439
79,Pakistan,42.51,240485658
80,Philippines,42.46,117337368
81,Sudan,42.34,48109006
82,Canada,41.89,38781291
83,Sri Lanka,41.39,21893579
84,Montenegro,41.18,626485
85,Malta,40.39,535064
86,Russia,39.99,144444359
87,Jordan,39.96,11337052
88,Turkey,39.62,85816199
89,Thailand,39.35,71801279
90,North Macedonia,39.12,2085679
91,Latvia,38.77,1830211
92,Bulgaria,38.21,6687717
93,Serbia,38.1,7149077
94,Nepal,36.01,30896590
95,Germany,35.79,83294633
96,Hungary,34.36,10156239
97,Luxembourg,34.13,654768
98,Norway,33.72,5474360
99,Uzbekistan,33.42,35163944
100,Kuwait,33.42,4310108
101,Lithuania,33.42,2718352
102,Spain,33.32,47519628
103,Azerbaijan,32.02,10412651
104,Israel,31.47,9174520
105,Cyprus,31.28,1260138
106,Poland,30.5,41026067
107,Slovakia,30.37,5795199
108,China,30.14,1425671352
109,Portugal,29.91,10247605
110,Brunei,29,452524
111,Cuba,28.33,11194449
112,Romania,28.3,19892812
113,Singapore,27.96,6014723
114,Finland,27.59,5545475
115,Netherlands,27.16,17618299
116,South Korea,26.68,51784059
117,Denmark,26.22,5910913
118,Bahrain,25.64,1485509
119,Austria,25.54,8958960
120,Czech Republic,25.52,10495295
121,Saudi Arabia,25.23,36947025
122,Rwanda,24.89,14094683
123,Croatia,24.59,4008617
124,Iceland,23.75,375318
125,Estonia,23.71,1322765
126,Georgia,23.38,3728282
127,Armenia,22.79,2777970
128,Slovenia,22.28,2119675
129,Japan,22.19,123294513
130,Hong Kong,22,7491609
131,Switzerland,21.62,8796669
132,Oman,20.34,4644384
133,Isle Of Man,19.25,84710
134,Taiwan,15.46,23923276
135,United Arab Emirates,15.23,9516871
136,Qatar,12.13,2716391
