#,Country,Stability,Rights,Health,Safety,Climate,Costs,Popularity,total life quality,Crime Rank,Crime Index,2023 Population
2,Australia,86,95,87,94,90,24,41,75,75,43.03,26439111
3,Hong Kong,81,82,100,99,49,60,52,75,130,22.0,7491609
5,Switzerland,91,99,93,99,35,42,40,73,131,21.62,8796669
6,Malta,88,69,91,99,75,39,43,72,85,40.39,535064
7,Luxembourg,92,97,86,99,25,45,42,71,97,34.13,654768
8,Singapore,82,89,79,100,45,53,42,71,113,27.96,6014723
9,Japan,86,88,92,99,54,29,41,71,129,22.19,123294513
10,Spain,65,73,87,93,74,41,68,71,102,33.32,47519628
11,Portugal,75,76,82,99,71,45,38,70,109,29.91,10247605
12,Germany,83,95,96,96,21,45,42,70,95,35.79,83294633
13,South Korea,84,77,92,89,56,41,41,69,116,26.68,51784059
15,Austria,82,90,96,99,27,37,43,69,119,25.54,8958960
16,New Zealand,90,100,81,97,36,29,36,69,77,42.88,5228100
17,Sweden,85,100,86,94,22,42,38,68,54,48.0,10612086
18,France,72,85,91,86,41,30,71,68,44,51.99,64756584
19,Norway,90,99,90,96,16,35,37,68,98,33.72,5474360
20,Finland,84,100,87,96,17,46,32,68,114,27.59,5545475
21,Canada,85,93,79,97,33,35,45,68,82,41.89,38781291
22,Cyprus,65,67,77,85,75,53,48,67,105,31.28,1260138
23,Denmark,84,100,84,99,17,35,41,67,117,26.22,5910913
24,Uruguay,74,82,70,80,78,42,28,67,45,51.73,3423108
25,Netherlands,81,99,83,95,21,40,36,66,115,27.16,17618299
26,Slovenia,77,72,83,99,40,56,32,66,128,22.28,2119675
27,United Arab Emirates,84,64,65,87,62,67,28,66,135,15.23,9516871
28,United States,67,83,69,68,66,34,71,66,56,47.81,339996563
29,Qatar,84,59,59,94,61,70,34,66,136,12.13,2716391
30,Croatia,66,59,78,96,50,68,38,64,123,24.59,4008617
31,Italy,65,66,87,91,57,31,59,64,69,44.85,58870762
32,Greece,55,63,87,87,70,44,45,64,66,45.85,10341277
34,Iceland,83,94,87,100,7,37,33,64,124,23.75,375318
35,Israel,56,75,83,69,81,34,30,63,104,31.47,9174520
36,Hungary,67,56,79,97,43,58,48,63,96,34.36,10156239
37,Belgium,71,88,90,94,20,32,40,63,70,44.58,11686140
38,Ireland,82,93,81,99,2,35,37,62,67,45.51,5056935
39,Poland,64,65,77,93,27,57,51,62,106,30.5,41026067
40,Estonia,72,90,78,90,17,42,26,61,125,23.71,1322765
41,Bulgaria,60,51,78,93,49,61,39,60,92,38.21,6687717
42,Chile,63,77,65,84,47,45,33,60,41,53.42,19629590
43,United Kingdom,74,90,77,91,6,34,43,60,64,46.07,67736802
44,Botswana,64,66,20,78,84,55,50,59,42,52.98,2675352
45,Saudi Arabia,62,45,64,77,55,74,46,59,121,25.23,36947025
46,Bahrain,62,47,63,82,63,71,28,59,118,25.64,1485509
47,Lithuania,69,78,82,88,20,44,22,59,101,33.42,2718352
48,Slovakia,66,67,74,94,35,41,33,58,107,30.37,5795199
49,Latvia,67,75,73,89,19,55,23,58,91,38.77,1830211
50,Romania,61,57,71,91,37,67,24,58,112,28.3,19892812
51,North Macedonia,49,48,68,89,58,65,36,58,90,39.12,2085679
52,Malaysia,72,56,58,95,44,45,44,58,29,57.29,34308525
53,Kuwait,73,45,72,90,31,72,25,58,100,33.42,4310108
54,China,69,37,69,83,54,38,72,57,108,30.14,1425671352
55,Costa Rica,69,66,57,79,52,42,31,57,38,54.22,5212173
56,Georgia,51,62,63,80,45,55,36,56,126,23.38,3728282
57,Oman,72,45,54,86,43,68,31,56,132,20.34,4644384
58,Argentina,43,42,77,81,73,42,34,55,18,63.82,45773884
59,Mongolia,64,42,62,83,44,66,31,55,34,56.01,3447157
60,Montenegro,44,52,65,86,53,61,24,55,84,41.18,626485
61,Albania,57,43,60,87,55,58,25,54,78,42.53,2832439
62,Thailand,59,40,69,80,46,53,42,54,89,39.35,71801279
63,Paraguay,56,34,43,76,78,63,35,54,49,49.37,6861524
64,Tunisia,42,46,54,80,76,48,40,54,73,43.69,12458223
65,Jordan,50,46,59,86,51,61,28,54,87,39.96,11337052
66,Sri Lanka,54,42,60,81,57,56,33,54,83,41.39,21893579
67,Morocco,53,38,48,82,81,45,37,53,52,48.66,37840044
68,Ecuador,64,38,53,71,60,59,25,53,37,55.23,18190484
69,Serbia,51,43,69,86,51,57,11,52,93,38.1,7149077
72,Armenia,42,50,65,83,50,52,22,52,127,22.79,2777970
73,Kazakhstan,60,35,68,79,40,57,33,52,40,53.77,19606633
74,Vietnam,69,35,50,81,53,49,34,52,63,46.19,98858950
75,Dominican Republic,60,44,48,73,61,46,30,51,22,61.02,11332972
76,Turkey,35,35,60,64,62,59,50,51,88,39.62,85816199
77,South Africa,42,54,26,40,95,49,40,51,3,76.86,60414495
78,Peru,55,42,46,77,60,47,34,51,12,66.72,34352719
79,Algeria,40,24,59,80,76,53,36,51,43,52.03,45606480
80,Bolivia,62,26,29,81,84,49,32,50,27,57.77,12388571
81,Ghana,56,49,25,88,56,45,38,50,58,46.98,34121985
82,Moldova,48,43,62,83,40,58,14,50,62,46.35,3435931
83,India,56,46,30,69,62,43,49,49,71,44.43,1428627663
84,Jamaica,58,52,42,46,73,44,18,49,10,67.42,2825544
85,Indonesia,62,45,30,89,40,53,38,49,65,45.93,277534122
86,Nepal,55,36,36,84,57,57,27,49,94,36.01,30896590
87,Rwanda,47,48,20,81,61,55,35,49,122,24.89,14094683
88,Uzbekistan,50,23,56,82,53,61,30,49,99,33.42,35163944
89,Brazil,46,44,57,51,65,40,31,48,9,67.49,216422446
90,Egypt,40,27,40,76,66,59,44,48,59,46.83,112716598
91,Kenya,46,34,11,72,90,48,43,48,23,60.14,55100586
92,Mexico,53,33,45,42,82,30,53,48,39,54.19,128455567
93,Kyrgyzstan,46,24,58,68,48,71,24,47,31,56.87,6735347
94,Russia,55,24,71,53,33,59,43,47,86,39.99,144444359
98,Philippines,55,38,40,70,49,46,34,47,80,42.46,117337368
99,Pakistan,26,26,29,63,72,62,65,46,79,42.51,240485658
100,Bangladesh,48,25,42,81,50,60,33,46,17,63.9,172954319
101,Azerbaijan,47,24,64,55,56,60,19,46,103,32.02,10412651
102,Zambia,47,32,11,82,68,53,46,46,74,43.62,20569737
104,Ukraine,31,36,68,59,37,58,39,46,57,47.42,36744634
105,Cambodia,60,18,27,77,51,63,35,45,46,51.13,16944826
106,Colombia,43,44,54,35,55,45,27,45,30,56.87,52085168
107,El Salvador,58,35,43,41,66,48,11,45,8,67.79,6364943
109,Uganda,47,28,12,69,71,56,37,44,32,56.12,48582334
110,Lebanon,14,21,58,68,71,46,45,44,60,46.77,5353930
111,Honduras,45,24,35,40,83,55,23,44,5,74.54,10593798
112,Belarus,41,24,79,75,22,40,36,43,24,59.58,9498238
116,Guatemala,56,26,35,61,49,42,25,41,26,58.67,18092026
117,Ethiopia,25,29,12,38,81,63,42,41,50,49.3,126527060
119,Nicaragua,46,14,44,64,61,39,25,40,55,47.89,7046310
120,Zimbabwe,28,13,8,69,92,37,35,38,25,59.3,16665409
122,Afghanistan,30,9,15,37,64,63,63,37,4,76.31,42239854
123,Iran,22,13,54,65,58,27,41,37,48,49.38,89172767
124,Iraq,24,13,41,49,37,73,32,37,53,48.42,45504560
125,Myanmar,30,11,30,24,50,73,33,35,61,46.51,54577997
126,Nigeria,25,23,12,43,53,55,38,34,16,64.06,223804632
128,Sudan,7,11,17,35,40,68,23,28,81,42.34,48109006
